gcLogFile; gc.log; -
footprint; 3,993.625; M
avgfootprintAfterFullGC; 226.078; M
avgfootprintAfterFullGCσ; 159.315; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 2,886.374; M
freedMemoryByFullGCpc; 0.1; %
avgFreedMemoryByFullGC; 360.797; M/coll
avgFreedMemoryByFullGCσ; 329.614; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; -1,353; B/s
avgRelativePostFullGCInc; -7,149,751; B/coll
avgfootprintAfterGC; 1,348.732; M
avgfootprintAfterGCσ; 487.766; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 168.744; K/s
avgRelativePostGCInc; 225.121; K/coll
freedMemoryByGC; 2,077,932.946; M
freedMemoryByGCpc; 99.9; %
avgFreedMemoryByGC; 712.841; M/coll
avgFreedMemoryByGCσ; 272.002; M/coll
avgFreedMemoryByGCisSig; false; bool
freedMemory; 2,080,819.32; M
avgPauseIsSig; false; bool
avgPause; 0.0262; s
avgPauseσ; 0.07022; s
minPause; 0.01175; s
maxPause; 2.97301; s
avgGCPauseIsSig; false; bool
avgGCPause; 0.02324; s
avgGCPauseσ; 0.01003; s
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 1.10739; s
avgFullGCPauseσ; 0.82278; s
accumPause; 76.59; s
fullGCPause; 8.86; s
fullGCPausePc; 11.6; %
gcPause; 67.73; s
gcPausePc; 88.4; %
accumPause; 76.59; s
footprint; 3,993.625; M
freedMemory; 2,080,819.32; M
throughput; 99.71; %
totalTime; 26494; s
freedMemoryPerMin; 4,712.246; M/min
gcPerformance; 30,678.9; M/s
fullGCPerformance; 325.809; M/s
